Intent,Accuracy,Precision,Recall,F1 Score
Account & Customer Information Management,0.9879154078549849,0.813953488372093,0.8974358974358975,0.8536585365853658
After Sales & Service Termination,0.9959718026183283,0.875,0.7,0.7777777777777777
Application Usage,0.9869083585095669,0.84,0.8936170212765957,0.8659793814432989
Billing,0.9929506545820745,0.9574468085106383,0.9,0.9278350515463918
Business Training and Webinar,0.9929506545820745,0.8571428571428571,0.8181818181818182,0.8372093023255814
Call Center,0.9899295065458208,0.8717948717948718,0.8717948717948718,0.8717948717948718
Competitors,0.998992950654582,0.9642857142857143,1.0,0.9818181818181818
Customer ID Number,0.9979859013091642,0.8,0.8,0.8000000000000002
Discount & Referral Incentive,0.9979859013091642,0.9333333333333333,0.9333333333333333,0.9333333333333333
Disturbance Report,0.9949647532729103,0.9166666666666666,0.88,0.8979591836734694
FUP Indibiz,0.998992950654582,1.0,0.9444444444444444,0.9714285714285714
General Business Information,0.9859013091641491,0.5,0.8571428571428571,0.631578947368421
IP Services,1.0,1.0,1.0,1.0
Indibiz Package,0.9657603222557906,0.5925925925925926,0.7272727272727273,0.6530612244897959
Internet Speed,0.9949647532729103,0.7727272727272727,1.0,0.8717948717948718
Irrelevant Question,0.9828801611278952,0.4375,0.4666666666666667,0.45161290322580644
Modem,0.9959718026183283,1.0,0.6923076923076923,0.8181818181818181
New Installation,0.9959718026183283,0.8571428571428571,0.6666666666666666,0.75
Number on Application,0.9929506545820745,0.9487179487179487,0.8809523809523809,0.9135802469135802
Optical Distribution Point,1.0,1.0,1.0,1.0
Order & Subscription Information,0.9889224572004028,0.9259259259259259,0.7352941176470589,0.819672131147541
Others,0.9909365558912386,0.5714285714285714,0.4,0.47058823529411764
Package Information,0.9899295065458208,0.9107142857142857,0.9107142857142857,0.9107142857142857
Package Migration,0.9949647532729103,1.0,0.6666666666666666,0.8
Price,0.9899295065458208,0.7142857142857143,0.7894736842105263,0.7500000000000001
Product & Package Differences,0.9979859013091642,1.0,0.8,0.888888888888889
Product Advantages and Disadvantages,0.9969788519637462,0.9210526315789473,1.0,0.958904109589041
Product Installation,0.9869083585095669,0.8545454545454545,0.9038461538461539,0.8785046728971962
Product Reseller,0.998992950654582,1.0,0.8333333333333334,0.9090909090909091
Products & Services,0.9657603222557906,0.7049180327868853,0.7288135593220338,0.7166666666666666
Service Availability,0.9969788519637462,0.9791666666666666,0.9591836734693877,0.9690721649484536
Technician Survey,0.9979859013091642,1.0,0.8888888888888888,0.9411764705882353
Transaction Number,0.998992950654582,0.8,1.0,0.888888888888889
Unclear Context,0.9788519637462235,0.8108108108108109,0.6818181818181818,0.7407407407407407
Unclear Words,0.9929506545820745,0.9230769230769231,0.9,0.9113924050632911
Upgrading and Downgrading,0.9929506545820745,0.8387096774193549,0.9285714285714286,0.8813559322033899
Vertical Business Education,0.9929506545820745,0.75,0.5454545454545454,0.631578947368421
myIndibiz B2B Products,0.9969788519637462,0.9166666666666666,0.9565217391304348,0.9361702127659574
