Intent,Accuracy,Precision,Recall,F1 Score
Account & Customer Information Management,0.9939577039274925,0.9230769230769231,0.9230769230769231,0.9230769230769231
After Sales & Service Termination,0.9969788519637462,0.8181818181818182,0.9,0.8571428571428572
Application Usage,0.9919436052366566,0.9534883720930233,0.8723404255319149,0.9111111111111112
Billing,0.9929506545820745,0.9387755102040817,0.92,0.9292929292929293
Business Training and Webinar,0.9939577039274925,0.8076923076923077,0.9545454545454546,0.875
Call Center,0.9879154078549849,0.8461538461538461,0.8461538461538461,0.8461538461538461
Competitors,0.9979859013091642,0.9310344827586207,1.0,0.9642857142857143
Customer ID Number,0.998992950654582,0.8333333333333334,1.0,0.9090909090909091
Discount & Referral Incentive,0.9979859013091642,0.8823529411764706,1.0,0.9375
Disturbance Report,0.9919436052366566,0.7931034482758621,0.92,0.851851851851852
FUP Indibiz,0.9979859013091642,0.9444444444444444,0.9444444444444444,0.9444444444444444
General Business Information,0.9919436052366566,0.75,0.6428571428571429,0.6923076923076924
IP Services,0.9979859013091642,0.92,1.0,0.9583333333333334
Indibiz Package,0.972809667673716,0.660377358490566,0.7954545454545454,0.7216494845360825
Internet Speed,0.9959718026183283,0.8421052631578947,0.9411764705882353,0.8888888888888888
Irrelevant Question,0.9899295065458208,0.6666666666666666,0.6666666666666666,0.6666666666666666
Modem,0.9969788519637462,0.9166666666666666,0.8461538461538461,0.8799999999999999
New Installation,0.9969788519637462,0.8,0.8888888888888888,0.8421052631578948
Number on Application,0.9949647532729103,0.9302325581395349,0.9523809523809523,0.9411764705882352
Optical Distribution Point,1.0,1.0,1.0,1.0
Order & Subscription Information,0.9929506545820745,0.9655172413793104,0.8235294117647058,0.888888888888889
Others,0.9889224572004028,0.4444444444444444,0.4,0.4210526315789474
Package Information,0.9919436052366566,0.9444444444444444,0.9107142857142857,0.9272727272727271
Package Migration,0.9959718026183283,0.9230769230769231,0.8,0.8571428571428571
Price,0.9929506545820745,0.875,0.7368421052631579,0.7999999999999999
Product & Package Differences,0.9979859013091642,0.8333333333333334,1.0,0.9090909090909091
Product Advantages and Disadvantages,0.9949647532729103,0.9411764705882353,0.9142857142857143,0.9275362318840579
Product Installation,0.9929506545820745,0.9787234042553191,0.8846153846153846,0.9292929292929293
Product Reseller,0.998992950654582,1.0,0.8333333333333334,0.9090909090909091
Products & Services,0.9687814702920443,0.71875,0.7796610169491526,0.7479674796747967
Service Availability,0.9939577039274925,0.9574468085106383,0.9183673469387755,0.9375000000000001
Technician Survey,1.0,1.0,1.0,1.0
Transaction Number,0.9979859013091642,0.6666666666666666,1.0,0.8
Unclear Context,0.9848942598187311,0.8717948717948718,0.7727272727272727,0.8192771084337349
Unclear Words,0.9959718026183283,0.9736842105263158,0.925,0.9487179487179489
Upgrading and Downgrading,0.9939577039274925,0.8666666666666667,0.9285714285714286,0.896551724137931
Vertical Business Education,0.9959718026183283,1.0,0.6363636363636364,0.7777777777777778
myIndibiz B2B Products,0.998992950654582,0.9583333333333334,1.0,0.9787234042553191
